date, pm25, pm10, o3, no2, so2, co
2019/8/26, 53, 33, , 16, , 4
2019/8/27, 61, 33, , 23, , 5
2019/8/28, 66, 46, , 47, , 9
2019/8/29, 82, 31, , 33, , 6
2019/8/30, 70, 18, , 10, , 4
2019/8/31, 53, 22, , 15, , 4
2019/9/1, 59, 31, , 25, , 6
2019/9/2, 62, 21, , 29, , 7
2019/9/3, 46, 35, , 38, , 7
2019/9/4, 57, 30, , 28, , 6
2019/9/5, 56, 36, , 33, , 8
2019/9/6, 51, 32, , 20, , 5
2019/9/7, 58, 24, , 16, , 6
2019/9/8, 71, 30, , 20, , 5
2019/9/9, 66, 16, , 24, , 6
2019/9/10, 44, 30, , 36, , 8
2019/9/11, 60, 34, , 34, , 7
2019/9/12, 68, 31, , 22, , 6
2019/9/13, 71, , , 17, , 5
2019/9/16, 16, 18, , 14, , 4
2019/9/17, 37, 10, , 16, , 4
2019/9/18, 25, 15, , 22, , 6
2019/9/19, 45, 24, , 27, , 7
2019/9/20, 53, 26, , 18, , 6
2019/9/21, 64, 39, , 30, , 11
2019/9/22, 84, 25, , 14, , 5
2019/9/23, 66, 34, , 19, , 6
2019/9/24, 82, 47, , 21, , 6
2019/9/25, 106, 46, , 24, , 10
2019/9/26, 120, 35, , 17, , 7
2019/9/27, 94, 24, , 20, , 7
2019/9/28, 75, 13, , 16, , 6
2019/9/29, 46, 9, , 15, , 5
2019/9/30, 36, 16, , 20, , 6
2019/4/1, 47, 32, , 9, , 4
2019/4/2, 54, 40, , 9, , 4
2019/4/3, 71, 47, , 12, , 5
2019/4/4, 91, 49, , 14, , 5
2019/4/5, 93, 49, , 10, , 5
2019/4/6, 89, 62, , 27, , 8
2019/4/7, 111, 78, , 42, , 10
2019/4/8, 133, 42, , 13, , 5
2019/4/9, 76, 39, , 14, , 5
2019/4/10, 69, 40, , 18, , 5
2019/4/11, 75, 36, , 15, , 5
2019/4/12, 72, 34, , 11, , 5
2019/4/13, 78, 25, , 6, , 5
2019/4/14, 58, 31, , 17, , 5
2019/4/15, 60, 39, , 21, , 6
2019/4/16, 75, 35, , 22, , 6
2019/4/17, 72, 49, , 32, , 7
2019/4/18, 82, 47, , 24, , 7
2019/4/19, 70, 52, , 15, , 6
2019/4/20, 71, , , , , 
2019/5/1, 60, 46, , 10, , 6
2019/5/2, 76, 26, , 10, , 6
2019/5/3, 56, 34, , 18, , 7
2019/5/4, 65, 14, , 12, , 6
2019/5/5, 37, 30, , 24, , 7
2019/5/6, 47, 48, , 31, , 8
2019/5/7, 68, 33, , 21, , 7
2019/5/8, 65, 32, , 20, , 7
2019/5/9, 58, 38, , 29, , 10
2019/5/10, 90, 45, , 29, , 9
2019/5/11, 83, 25, , 13, , 7
2019/5/12, 69, 19, , 26, , 8
2019/5/13, 47, 17, , 19, , 8
2019/5/14, 55, 23, , 14, , 8
2019/5/15, 69, 29, , 18, , 9
2019/5/16, 76, 27, , 24, , 10
2019/5/17, 65, 25, , 16, , 8
2019/5/18, 68, 20, , 10, , 7
2019/5/19, 59, 27, , 11, , 7
2019/5/20, 64, 26, , 10, , 7
2019/5/21, 52, 14, , 12, , 7
2019/5/22, 39, 37, , 26, , 10
2019/5/23, 74, 43, , 31, , 7
2019/5/24, 68, 41, , 25, , 4
